ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
A-728406,2,31.70241,-106.321533,El Paso,El Paso,TX,104,104,10,26.04,10,9,
A-794051,2,42.33746,-71.175217,Chestnut Hill,Middlesex,MA,74,74,62,29.89,10,6,0
A-3152116,2,34.693992,-80.788742,Lancaster,Lancaster,SC,46,46,100,29.77,0.25,0,0
A-1729456,2,30.412956,-98.043938,Spicewood,Travis,TX,79.2,,74,29.84,10,11.5,
A-177113,2,41.878761,-88.106758,Wheaton,Dupage,IL,73,,76,29.88,10,8.1,
A-116073,3,29.475943,-81.183632,Palm Coast,Flagler,FL,,,,29.9,10,9,
A-4031833,4,38.898177,-76.98829,Washington,District of Columbia,DC,75.9,,76,30.15,10,4.6,
A-2972460,2,32.286112,-80.9675,Okatie,Beaufort,SC,,,,30.33,10,0,0
A-2909043,2,39.74259,-84.20477,Dayton,Montgomery,OH,44.1,36.2,96,29.51,2,18.4,0.16
A-4164420,2,33.92741,-117.2886,Moreno Valley,Riverside,CA,105.8,,15,29.69,10,15,
A-2412453,3,47.482586,-122.27198,Seattle,King,WA,46,42.5,61,30.62,10,6.9,
A-1673687,3,30.248066,-97.735413,Austin,Travis,TX,50,,54,30.21,10,5.8,
A-2427649,2,32.691231,-96.857071,Dallas,Dallas,TX,46.9,,46,30.25,10,4.6,
A-2278380,3,33.461788,-112.289986,Avondale,Maricopa,AZ,51.8,,38,29.93,10,5.8,
A-1300867,2,34.929256,-80.833206,Lancaster,Lancaster,SC,68,68,94,29.55,,0,0
A-1448570,3,42.206371,-71.141014,Canton,Norfolk,MA,41,35,82,29.9,6,10,0.1
A-2843615,2,37.52466,-121.99233,Newark,Alameda,CA,64.4,,59,30.04,10,15,
A-4149936,2,40.80721,-73.23011,Hauppauge,Suffolk,NY,68,,45,29.84,10,17.3,
A-2067177,3,38.269321,-85.782036,Louisville,Jefferson,KY,89.1,,46,29.97,10,4.6,
