ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
A-2204594,3,29.808233,-95.336021,Houston,Harris,TX,71.6,,88,29.97,6,6.9,
A-3173916,2,35.743008,-78.680746,Raleigh,Wake,NC,54,54,97,29.8,10,0,0
A-3374155,2,37.594642,-77.566247,Henrico,Henrico,VA,34,34,89,29.61,10,3,0
A-422883,3,41.50816,-73.681664,Holmes,Putnam,NY,69.8,,73,29.56,10,8.1,
A-950231,2,35.831188,-78.569229,Raleigh,Wake,NC,61,61,93,29.38,10,12,0
A-2670489,2,33.4748,-81.970665,Augusta,Richmond,GA,73.9,,87,30.17,6,8.1,0.04
A-1452824,2,29.790443,-95.161041,Houston,Harris,TX,74,74,91,29.96,5,7,0.03
A-1552380,3,37.73193,-122.415672,San Francisco,San Francisco,CA,50,,83,30.25,9,,
A-499112,2,25.672024,-80.365273,Miami,Miami-Dade,FL,88,,67,30.11,10,10.4,
A-2250270,2,40.938431,-74.071297,Paramus,Bergen,NJ,34,23.8,59,29.57,10,16.1,
A-2119513,2,30.344091,-97.705406,Austin,Travis,TX,84.9,,43,30.01,10,8.1,
A-26928,2,37.50832,-122.500183,Moss Beach,San Mateo,CA,53.6,,100,30.04,3,4.6,
A-1044251,2,28.901409,-82.577469,Crystal River,Citrus,FL,73,73,94,29.86,7,0,0
A-3808513,2,32.883974,-117.228161,La Jolla,San Diego,CA,66,66,70,29.37,10,5,0
A-873397,4,37.779682,-122.39946,San Francisco,San Francisco,CA,59,59,81,30.04,10,5,0
A-1982779,2,32.863537,-96.897079,Dallas,Dallas,TX,93,,44,29.91,10,11.5,
A-2101464,2,35.219528,-80.836197,Charlotte,Mecklenburg,NC,82,,35,30.28,10,9.2,
A-3002608,2,38.847731,-77.220228,Annandale,Fairfax County,VA,40,40,45,30,10,0,0
A-1221237,3,45.063412,-93.162308,Saint Paul,Ramsey,MN,88,88,55,28.93,10,17,0
A-3095421,2,25.688599,-80.316463,Miami,Miami-Dade,FL,74,74,87,30.02,10,6,0
A-167366,2,42.061062,-88.327179,Elgin,Kane,IL,39,30.3,76,29.91,10,16.1,
A-1433396,2,42.040211,-87.83213,Niles,Cook,IL,71,71,68,29.06,10,3,0
