Severity,Sunrise_Sunset,Traffic_Signal,State,count
1,Day,False,AL,101
1,Day,False,AR,9
1,Day,False,AZ,653
1,Day,False,CA,3481
1,Day,False,CO,212
1,Day,False,CT,17
1,Day,False,DC,19
1,Day,False,DE,6
1,Day,False,FL,1384
1,Day,False,GA,219
1,Day,False,IA,6
1,Day,False,IL,147
1,Day,False,IN,32
1,Day,False,KS,4
1,Day,False,KY,18
1,Day,False,LA,957
1,Day,False,MA,68
1,Day,False,MD,199
1,Day,False,MI,36
1,Day,False,MN,33
1,Day,False,MO,57
1,Day,False,MS,5
1,Day,False,NC,1192
1,Day,False,NE,19
1,Day,False,NH,4
1,Day,False,NJ,66
1,Day,False,NM,11
1,Day,False,NV,2
1,Day,False,NY,572
1,Day,False,OH,275
1,Day,False,OK,37
1,Day,False,OR,570
1,Day,False,PA,125
1,Day,False,RI,70
1,Day,False,SC,86
1,Day,False,TN,959
1,Day,False,TX,347
1,Day,False,UT,181
1,Day,False,VA,801
1,Day,False,VT,1
1,Day,False,WA,297
1,Day,False,WI,28
1,Day,False,WV,2
1,Day,True,AL,19
1,Day,True,AR,1
1,Day,True,AZ,4761
1,Day,True,CA,383
1,Day,True,CO,290
1,Day,True,DC,18
1,Day,True,DE,4
1,Day,True,FL,1310
1,Day,True,GA,116
1,Day,True,IL,65
1,Day,True,IN,12
1,Day,True,KY,19
1,Day,True,LA,213
1,Day,True,MA,1
1,Day,True,MD,70
1,Day,True,MI,9
1,Day,True,MN,3
1,Day,True,MO,5
1,Day,True,NC,236
1,Day,True,NE,12
1,Day,True,NJ,3
1,Day,True,NM,37
1,Day,True,NV,1
1,Day,True,NY,98
1,Day,True,OH,235
1,Day,True,OK,29
1,Day,True,OR,657
1,Day,True,PA,73
1,Day,True,RI,1
1,Day,True,SC,18
1,Day,True,TN,417
1,Day,True,TX,609
1,Day,True,UT,162
1,Day,True,VA,858
1,Day,True,WA,163
1,Day,True,WI,4
1,Night,False,AL,12
1,Night,False,AR,1
1,Night,False,AZ,235
1,Night,False,CA,1699
1,Night,False,CO,13
1,Night,False,CT,5
1,Night,False,DC,4
1,Night,False,DE,1
1,Night,False,FL,214
1,Night,False,GA,64
1,Night,False,IL,29
1,Night,False,IN,9
1,Night,False,KS,1
1,Night,False,KY,4
1,Night,False,LA,67
1,Night,False,MA,112
1,Night,False,MD,37
1,Night,False,ME,1
1,Night,False,MI,13
1,Night,False,MN,6
1,Night,False,MO,8
1,Night,False,NC,343
1,Night,False,NE,6
1,Night,False,NJ,24
1,Night,False,NV,1
1,Night,False,NY,59
1,Night,False,OH,18
1,Night,False,OK,6
1,Night,False,OR,24
1,Night,False,PA,19
1,Night,False,SC,17
1,Night,False,TN,69
1,Night,False,TX,66
1,Night,False,UT,36
1,Night,False,VA,64
1,Night,False,WA,48
1,Night,True,AL,1
1,Night,True,AZ,1074
1,Night,True,CA,250
1,Night,True,CO,4
1,Night,True,DC,2
1,Night,True,FL,113
1,Night,True,GA,9
1,Night,True,IL,26
1,Night,True,IN,7
1,Night,True,LA,28
1,Night,True,MA,3
1,Night,True,MD,2
1,Night,True,MI,3
1,Night,True,MO,1
1,Night,True,NC,54
1,Night,True,NE,1
1,Night,True,NJ,1
1,Night,True,NY,3
1,Night,True,OH,3
1,Night,True,OK,2
1,Night,True,OR,18
1,Night,True,PA,3
1,Night,True,SC,4
1,Night,True,TN,17
1,Night,True,TX,57
1,Night,True,UT,16
1,Night,True,VA,25
1,Night,True,WA,26
1,Night,True,WI,1
2,Day,False,AL,20835
2,Day,False,AR,1653
2,Day,False,AZ,27952
2,Day,False,CA,407055
2,Day,False,CO,13157
2,Day,False,CT,10879
2,Day,False,DC,1937
2,Day,False,DE,2759
2,Day,False,FL,122839
2,Day,False,GA,26586
2,Day,False,IA,3742
2,Day,False,ID,1837
2,Day,False,IL,30316
2,Day,False,IN,11244
2,Day,False,KS,3307
2,Day,False,KY,7041
2,Day,False,LA,43296
2,Day,False,MA,17431
2,Day,False,MD,19721
2,Day,False,ME,1598
2,Day,False,MI,34579
2,Day,False,MN,38592
2,Day,False,MO,10766
2,Day,False,MS,2610
2,Day,False,MT,999
2,Day,False,NC,73202
2,Day,False,ND,137
2,Day,False,NE,9139
2,Day,False,NH,4551
2,Day,False,NJ,29699
2,Day,False,NM,1699
2,Day,False,NV,4346
2,Day,False,NY,68839
2,Day,False,OH,24172
2,Day,False,OK,27542
2,Day,False,OR,54147
2,Day,False,PA,54130
2,Day,False,RI,4552
2,Day,False,SC,101436
2,Day,False,SD,62
2,Day,False,TN,37212
2,Day,False,TX,131019
2,Day,False,UT,24350
