ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
A-1164184,2,37.720825,-122.178314,San Leandro,Alameda,CA,69.0,69.0,45.0,29.97,10.0,14.0,0.0
A-780858,2,35.70042,-81.282951,Hickory,Catawba,NC,55.0,55.0,93.0,28.81,3.0,8.0,0.03
A-3851528,2,40.70861,-73.7274,Queens Village,Queens,NY,64.0,64.0,67.0,30.13,10.0,8.0,0.0
A-3288090,2,38.331124,-77.500027,Fredericksburg,Stafford,VA,47.0,47.0,74.0,29.93,10.0,0.0,0.0
A-3562447,2,43.0524,-76.26549,Camillus,Onondaga,NY,80.0,80.0,52.0,29.62,10.0,3.0,0.0
A-752449,3,39.130219,-104.8638,Larkspur,Douglas,CO,66.0,66.0,28.0,23.18,10.0,9.0,0.0
A-4183540,2,42.27588,-122.80977,Phoenix,Jackson,OR,82.0,82.0,18.0,28.43,10.0,13.0,0.0
A-1441624,3,39.943035,-75.193092,Philadelphia,Philadelphia,PA,62.0,62.0,80.0,30.13,7.0,7.0,0.0
A-691950,2,42.502384,-71.11895,Reading,Middlesex,MA,66.0,66.0,70.0,30.2,10.0,12.0,0.0
A-4066240,4,34.39979,-118.46022,Newhall,Los Angeles,CA,55.0,55.0,100.0,29.11,4.0,3.0,0.0
A-1027909,2,27.712219,-82.348457,Sun City Center,Hillsborough,FL,61.0,61.0,94.0,29.94,10.0,15.0,0.0
A-3513433,2,26.02792,-80.16573,Hollywood,Broward,FL,82.0,82.0,84.0,30.05,10.0,0.0,0.0
A-1041620,2,26.709848,-80.137756,West Palm Beach,Palm Beach,FL,81.0,81.0,79.0,29.86,10.0,13.0,0.0
A-3224413,2,28.489237,-81.431706,Orlando,Orange,FL,81.0,81.0,69.0,29.93,10.0,15.0,0.0
A-201998,3,42.627697,-73.700615,Rensselaer,Rensselaer,NY,41.0,33.1,62.0,29.34,10.0,15.0,0.0
A-1657201,3,43.122478,-83.763588,Mount Morris,Genesee,MI,34.0,26.6,96.0,29.83,9.0,9.2,0.02
A-1206138,2,33.881504,-117.61895,Corona,Riverside,CA,62.0,62.0,84.0,29.29,10.0,0.0,0.0
A-1183725,2,32.742699,-96.682808,Dallas,Dallas,TX,95.0,95.0,36.0,29.33,10.0,6.0,0.0
A-1039906,2,45.491909,-122.791573,Beaverton,Washington,OR,38.0,38.0,93.0,29.67,6.0,0.0,0.0
A-1054649,3,40.989498,-73.677086,Rye,Westchester,NY,58.0,58.0,78.0,29.53,10.0,0.0,0.0
A-3743655,2,36.976983,-120.079343,Madera,Madera,CA,52.0,52.0,77.0,29.82,5.0,3.0,0.0
A-1558052,2,40.051018,-75.562111,Malvern,Chester,PA,32.0,32.0,93.0,29.34,10.0,0.0,0.0
A-3113606,2,34.194441,-118.331393,Burbank,Los Angeles,CA,67.0,67.0,42.0,29.18,10.0,8.0,0.0
A-993026,2,35.608768,-97.638527,Oklahoma City,Oklahoma,OK,36.0,32.0,64.0,28.91,10.0,5.0,0.0
A-678490,2,32.765949,-96.895599,Dallas,Dallas,TX,78.0,78.0,74.0,29.4,10.0,0.0,0.0
A-3485685,2,40.91129,-76.85391,Winfield,Union,PA,48.0,44.0,56.0,29.46,10.0,9.0,0.0
A-3688400,2,44.79909,-93.28955,Burnsville,Dakota,MN,1.0,-9.0,57.0,29.85,10.0,5.0,0.0
A-1433404,4,32.553291,-98.265633,Santo,Palo Pinto,TX,74.0,74.0,85.0,28.71,10.0,7.0,0.0
A-1304586,2,41.30331,-72.923347,New Haven,New Haven,CT,70.0,70.0,73.0,30.14,10.0,12.0,0.0
A-3756159,2,37.24825,-122.075817,Saratoga,Santa Clara,CA,54.0,54.0,57.0,30.1,10.0,0.0,0.0
A-3130445,2,25.840454,-80.318639,Miami,Miami-Dade,FL,83.0,83.0,69.0,29.93,10.0,18.0,0.0
A-899256,2,40.220486,-78.936493,Davidsville,Somerset,PA,27.0,12.0,75.0,27.84,5.0,24.0,0.0
A-1020870,2,33.981121,-117.707069,Chino Hills,San Bernardino,CA,56.0,56.0,93.0,29.28,0.75,3.0,0.0
A-3301194,2,44.868046,-93.350325,Minneapolis,Hennepin,MN,36.0,36.0,100.0,28.91,4.0,0.0,0.0
A-3111637,2,26.399773,-80.090411,Boca Raton,Palm Beach,FL,78.0,78.0,76.0,29.99,8.0,17.0,0.0
A-3687096,4,40.65323,-112.28919,Tooele,Tooele,UT,33.0,29.0,59.0,25.56,10.0,5.0,0.0
A-622924,2,36.092911,-86.845558,Nashville,Davidson,TN,52.0,52.0,86.0,29.33,9.0,0.0,0.0
A-686141,2,41.194447,-73.686211,Mount Kisco,Westchester,NY,78.0,78.0,81.0,29.55,10.0,3.0,0.0
A-3259960,2,33.960007,-118.286764,Los Angeles,Los Angeles,CA,74.0,74.0,40.0,29.94,7.0,0.0,0.0
A-3802133,2,33.73281,-117.98926,Huntington Beach,Orange,CA,81.0,81.0,21.0,29.77,10.0,10.0,0.0
A-992764,2,33.08448,-80.65303,Walterboro,Colleton,SC,54.0,54.0,44.0,29.7,10.0,10.0,0.0
A-900192,3,29.520521,-98.499268,San Antonio,Bexar,TX,62.0,62.0,86.0,29.32,3.0,8.0,0.0
A-922963,2,33.66811,-112.082878,Phoenix,Maricopa,AZ,53.0,53.0,47.0,28.32,10.0,6.0,0.0
A-1495299,2,33.38858,-112.081963,Phoenix,Maricopa,AZ,97.0,97.0,10.0,28.64,10.0,3.0,0.0
A-1183876,2,29.680704,-95.227669,Pasadena,Harris,TX,84.0,84.0,67.0,29.88,10.0,12.0,0.0
A-3220571,2,34.75719,-85.002282,Dalton,Whitfield,GA,55.0,55.0,82.0,29.48,10.0,0.0,0.0
