ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1046774,MapQuest,201,2,09-10-2019 16:34,09-10-2019 18:05,35.9048,-78.658043,,,0,Accident on Lead Mine Rd at Harvest Oaks Dr.,8883,Harvest Oaks Dr,R,Raleigh,Wake,NC,27615-2110,US,US/Eastern,KRDU,09-10-2019 16:51,69,69,63,29.66,10,ENE,12,0,Partly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2029508,MapQuest,201,2,26-07-2018 08:28,26-07-2018 08:57,28.284554,-82.675873,,,0,Outside lane blocked due to hit-and-run accident on County Hwy-1 Little Rd Southbound at Youth Ln.,8830,Little Rd,R,New Port Richey,Pasco,FL,34654,US,US/Eastern,KBKV,26-07-2018 08:27,79,,94,30,10,South,9.2,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1974309,MapQuest,201,2,27-08-2018 17:38,27-08-2018 18:08,33.776836,-79.021156,,,0,Accident on SC-544 at Singleton Ridge Rd.,1479,Highway 544,R,Conway,Horry,SC,29526-8447,US,US/Eastern,KHYW,27-08-2018 17:35,86,,62,30.13,7,SSE,6.9,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2805605,Bing,,2,30-06-2016 19:45,01-07-2016 01:45,42.75636,-73.76625,42.76055,-73.76342,0.323,Between I-87/RT-2/Troy Schenectady Rd and Exit 7 - Accident.,,I-87 S,R,Latham,Albany,NY,12110,US,US/Eastern,KALB,30-06-2016 19:51,78.1,,39,29.98,10,West,4.6,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3162505,Bing,,2,11-12-2020 18:53,11-12-2020 19:34,34.035522,-118.268828,34.031916,-118.262415,0.444,Slow traffic on Santa Monica Fwy E - I-10 E from I-110/CA-110/Harbor Fwy (I-10) to Maple Ave/Los Angeles St (I-10) due to accident.,,I-10 E,R,Los Angeles,Los Angeles,CA,90015,US,US/Pacific,KCQT,11-12-2020 18:52,56,56,77,29.88,8,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-689739,MapQuest,201,2,14-07-2020 08:10,14-07-2020 09:09,34.080769,-81.227913,,,0,Accident on Collins Dr at SC-6 Lake Dr.,599,Weed Dr,R,Columbia,Lexington,SC,29212-8530,US,US/Eastern,KCAE,14-07-2020 07:56,77,77,84,29.71,10,E,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4207263,Bing,,2,31-05-2019 16:57,31-05-2019 17:57,40.78954,-111.91495,40.795648,-111.917469,0.442,At 900/Exit 310 - Accident.,,I-15 N,R,Salt Lake City,Salt Lake,UT,84116,US,US/Mountain,KSLC,31-05-2019 16:54,76,76,37,25.69,10,WNW,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4064028,Bing,,2,06-03-2018 06:43,06-03-2018 12:43,42.338203,-83.123082,42.33666,-83.12702,0.228,At Livernois Ave/Exit 212 - Accident. Left lane blocked. Hard shoulder blocked.,,I-94 W,R,Detroit,Wayne,MI,48210,US,US/Eastern,KDET,06-03-2018 06:53,32,22.5,73,29.87,10,East,12.7,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-2274621,MapQuest,201,3,26-03-2018 06:14,26-03-2018 06:42,37.960094,-122.051918,,,1.139999986,Accident on exit ramp from Monument Boulevard Southbound to I-680 Northbound.,,CA-242 S,R,Concord,Contra Costa,CA,94520,US,US/Pacific,KCCR,26-03-2018 05:53,39.9,37.8,89,30.14,10,SSE,3.5,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-1345107,MapQuest,241,4,08-06-2019 14:59,08-06-2019 16:29,34.065071,-117.80658,,,3.170000076,#4 #5 lane blocked due to accident on I-10 Eastbound between The Mall and CA-71 .,,I-10 E,R,San Dimas,Los Angeles,CA,91773,US,US/Pacific,KPOC,08-06-2019 14:47,81,81,45,28.85,10,WSW,12,,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
