ID,Severity,Start_Lat,Start_Lng,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),State_Name
A-1164184,2,37.720825,-122.178314,San Leandro,Alameda,CA,69,69,45,29.97,10,14,0,California
A-780858,2,35.70042,-81.282951,Hickory,Catawba,NC,55,55,93,28.81,3,8,0.03,North Carolina
A-3851528,2,40.70861,-73.7274,Queens Village,Queens,NY,64,64,67,30.13,10,8,0,New York
A-3288090,2,38.331124,-77.500027,Fredericksburg,Stafford,VA,47,47,74,29.93,10,0,0,Virginia
A-3562447,2,43.0524,-76.26549,Camillus,Onondaga,NY,80,80,52,29.62,10,3,0,New York
A-752449,3,39.130219,-104.8638,Larkspur,Douglas,CO,66,66,28,23.18,10,9,0,Colorado
A-4183540,2,42.27588,-122.80977,Phoenix,Jackson,OR,82,82,18,28.43,10,13,0,Oregon
A-1441624,3,39.943035,-75.193092,Philadelphia,Philadelphia,PA,62,62,80,30.13,7,7,0,Pennsylvania
A-691950,2,42.502384,-71.11895,Reading,Middlesex,MA,66,66,70,30.2,10,12,0,Massachusetts
A-4066240,4,34.39979,-118.46022,Newhall,Los Angeles,CA,55,55,100,29.11,4,3,0,California
A-1027909,2,27.712219,-82.348457,Sun City Center,Hillsborough,FL,61,61,94,29.94,10,15,0,Florida
A-3513433,2,26.02792,-80.16573,Hollywood,Broward,FL,82,82,84,30.05,10,0,0,Florida
A-1041620,2,26.709848,-80.137756,West Palm Beach,Palm Beach,FL,81,81,79,29.86,10,13,0,Florida
A-3224413,2,28.489237,-81.431706,Orlando,Orange,FL,81,81,69,29.93,10,15,0,Florida
A-201998,3,42.627697,-73.700615,Rensselaer,Rensselaer,NY,41,33.1,62,29.34,10,15,0,New York
A-1657201,3,43.122478,-83.763588,Mount Morris,Genesee,MI,34,26.6,96,29.83,9,9.2,0.02,Michigan
A-1206138,2,33.881504,-117.61895,Corona,Riverside,CA,62,62,84,29.29,10,0,0,California
A-1183725,2,32.742699,-96.682808,Dallas,Dallas,TX,95,95,36,29.33,10,6,0,Texas
A-1039906,2,45.491909,-122.791573,Beaverton,Washington,OR,38,38,93,29.67,6,0,0,Oregon
A-1054649,3,40.989498,-73.677086,Rye,Westchester,NY,58,58,78,29.53,10,0,0,New York
A-3743655,2,36.976983,-120.079343,Madera,Madera,CA,52,52,77,29.82,5,3,0,California
A-1558052,2,40.051018,-75.562111,Malvern,Chester,PA,32,32,93,29.34,10,0,0,Pennsylvania
A-3113606,2,34.194441,-118.331393,Burbank,Los Angeles,CA,67,67,42,29.18,10,8,0,California
A-993026,2,35.608768,-97.638527,Oklahoma City,Oklahoma,OK,36,32,64,28.91,10,5,0,Oklahoma
A-678490,2,32.765949,-96.895599,Dallas,Dallas,TX,78,78,74,29.4,10,0,0,Texas
A-3485685,2,40.91129,-76.85391,Winfield,Union,PA,48,44,56,29.46,10,9,0,Pennsylvania
A-3688400,2,44.79909,-93.28955,Burnsville,Dakota,MN,1,-9,57,29.85,10,5,0,Minnesota
A-1433404,4,32.553291,-98.265633,Santo,Palo Pinto,TX,74,74,85,28.71,10,7,0,Texas
A-1304586,2,41.30331,-72.923347,New Haven,New Haven,CT,70,70,73,30.14,10,12,0,Connecticut
A-3756159,2,37.24825,-122.075817,Saratoga,Santa Clara,CA,54,54,57,30.1,10,0,0,California
A-3130445,2,25.840454,-80.318639,Miami,Miami-Dade,FL,83,83,69,29.93,10,18,0,Florida
A-899256,2,40.220486,-78.936493,Davidsville,Somerset,PA,27,12,75,27.84,5,24,0,Pennsylvania
A-1020870,2,33.981121,-117.707069,Chino Hills,San Bernardino,CA,56,56,93,29.28,0.75,3,0,California
