ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1046774,MapQuest,201.0,2,2019-10-09 16:34:35,2019-10-09 18:05:38,35.9048,-78.658043,,,0.0,Accident on Lead Mine Rd at Harvest Oaks Dr.,8883.0,Harvest Oaks Dr,R,Raleigh,Wake,NC,27615-2110,US,US/Eastern,KRDU,2019-10-09 16:51:00,69.0,69.0,63.0,29.66,10.0,ENE,12.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2029508,MapQuest,201.0,2,2018-07-26 08:28:48,2018-07-26 08:57:58,28.284554,-82.675873,,,0.0,Outside lane blocked due to hit-and-run accident on County Hwy-1 Little Rd Southbound at Youth Ln.,8830.0,Little Rd,R,New Port Richey,Pasco,FL,34654,US,US/Eastern,KBKV,2018-07-26 08:27:00,79.0,,94.0,30.0,10.0,South,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1974309,MapQuest,201.0,2,2018-08-27 17:38:14,2018-08-27 18:08:04,33.776836,-79.021156,,,0.0,Accident on SC-544 at Singleton Ridge Rd.,1479.0,Highway 544,R,Conway,Horry,SC,29526-8447,US,US/Eastern,KHYW,2018-08-27 17:35:00,86.0,,62.0,30.13,7.0,SSE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2805605,Bing,,2,2016-06-30 19:45:56,2016-07-01 01:45:56,42.75636,-73.76625,42.76055,-73.76342,0.323,Between I-87/RT-2/Troy Schenectady Rd and Exit 7 - Accident.,,I-87 S,R,Latham,Albany,NY,12110,US,US/Eastern,KALB,2016-06-30 19:51:00,78.1,,39.0,29.98,10.0,West,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3162505,Bing,,2,2020-12-11 18:53:00,2020-12-11 19:34:30,34.035522,-118.268828,34.031916,-118.262415,0.444,Slow traffic on Santa Monica Fwy E - I-10 E from I-110/CA-110/Harbor Fwy (I-10) to Maple Ave/Los Angeles St (I-10) due to accident.,,I-10 E,R,Los Angeles,Los Angeles,CA,90015,US,US/Pacific,KCQT,2020-12-11 18:52:00,56.0,56.0,77.0,29.88,8.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-689739,MapQuest,201.0,2,2020-07-14 08:10:27,2020-07-14 09:09:59,34.080769,-81.227913,,,0.0,Accident on Collins Dr at SC-6 Lake Dr.,599.0,Weed Dr,R,Columbia,Lexington,SC,29212-8530,US,US/Eastern,KCAE,2020-07-14 07:56:00,77.0,77.0,84.0,29.71,10.0,E,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4207263,Bing,,2,2019-05-31 16:57:00,2019-05-31 17:57:00,40.78954,-111.91495,40.795648,-111.917469,0.442,At 900/Exit 310 - Accident.,,I-15 N,R,Salt Lake City,Salt Lake,UT,84116,US,US/Mountain,KSLC,2019-05-31 16:54:00,76.0,76.0,37.0,25.69,10.0,WNW,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4064028,Bing,,2,2018-03-06 06:43:19,2018-03-06 12:43:19,42.338203,-83.123082,42.33666,-83.12702,0.228,At Livernois Ave/Exit 212 - Accident. Left lane blocked. Hard shoulder blocked.,,I-94 W,R,Detroit,Wayne,MI,48210,US,US/Eastern,KDET,2018-03-06 06:53:00,32.0,22.5,73.0,29.87,10.0,East,12.7,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2274621,MapQuest,201.0,3,2018-03-26 06:14:10,2018-03-26 06:42:56,37.960094,-122.051918,,,1.13999998569,Accident on exit ramp from Monument Boulevard Southbound to I-680 Northbound.,,CA-242 S,R,Concord,Contra Costa,CA,94520,US,US/Pacific,KCCR,2018-03-26 05:53:00,39.9,37.8,89.0,30.14,10.0,SSE,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1345107,MapQuest,241.0,4,2019-06-08 14:59:46,2019-06-08 16:29:11,34.065071,-117.80658,,,3.17000007629,#4 #5 lane blocked due to accident on I-10 Eastbound between The Mall and CA-71 .,,I-10 E,R,San Dimas,Los Angeles,CA,91773,US,US/Pacific,KPOC,2019-06-08 14:47:00,81.0,81.0,45.0,28.85,10.0,WSW,12.0,,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1179953,MapQuest,201.0,2,2019-09-24 08:27:27,2019-09-24 09:27:10,39.362049,-76.733673,,,0.0,Accident on Sudbrook Ln at Sudbrook Rd.,744.0,Milford Mill Rd,R,Pikesville,Baltimore County,MD,21208-5809,US,US/Eastern,KDMH,2019-09-24 08:54:00,72.0,,53.0,29.88,,,,0.0,,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-260154,MapQuest,241.0,3,2016-07-26 07:23:00,2016-07-26 08:08:00,39.369827,-76.513718,,,0.0,Lane blocked and right hand shoulder blocked due to accident on I-695 clockwise at Exits 32A 32B US-1 Belair Rd.,,I-695 W,R,Nottingham,Baltimore County,MD,21236,US,US/Eastern,KMTN,2016-07-26 07:45:00,78.8,,89.0,29.96,10.0,WNW,3.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3444610,Bing,,2,2020-05-26 14:55:31,2020-05-26 15:10:31,41.82117,-71.4203,41.82117,-71.4203,0.0,Ramp to I-95 Southbound and US-6 Eastbound - Earlier accident.,,I-95 S,R,Providence,Providence,RI,02903,US,US/Eastern,KPVD,2020-05-26 14:51:00,74.0,74.0,68.0,30.13,10.0,SSE,13.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2279736,MapQuest,201.0,2,2018-03-29 15:36:48,2018-03-29 16:21:19,35.837574,-78.559578,,,0.0,Accident on Windmere Chase Dr at Waterford Cove Dr.,4798.0,Waterford Cove Dr,L,Raleigh,Wake,NC,27616-0726,US,US/Eastern,KRDU,2018-03-29 15:51:00,77.0,,50.0,29.94,10.0,SSW,18.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2021948,MapQuest,201.0,2,2018-07-23 10:08:42,2018-07-23 10:53:13,41.467403,-73.821251,,,0.0,Right hand shoulder blocked due to accident on Taconic State Pkwy Southbound at NY-301.,,Taconic State Pkwy,R,Carmel,Putnam,NY,10512,US,US/Eastern,KDXR,2018-07-23 09:53:00,73.9,,93.0,30.13,10.0,SSE,9.2,0.01,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2822493,Bing,,2,2016-04-29 07:07:56,2016-04-29 13:07:56,41.06557,-73.86484,41.08357,-73.92401,3.323,Between Tappan Zee Bridge Toll Plaza and US-9W/Exit 10 - Accident.,,I-287 W,R,Tarrytown,Westchester,NY,10591,US,US/Eastern,KHPN,2016-04-29 06:56:00,46.0,42.5,71.0,30.1,10.0,East,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2724547,Bing,,2,2016-05-04 19:37:51,2016-05-05 01:37:51,34.03167,-118.02194,34.03525,-118.0297,0.509,At I-605 - Accident.,,Pomona Fwy W,R,La Puente,Los Angeles,CA,91746,US,US/Pacific,KEMT,2016-05-04 19:54:00,64.4,,59.0,29.93,10.0,SW,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1937294,MapQuest,201.0,2,2018-08-08 15:53:09,2018-08-08 16:37:46,25.78334,-80.269646,,,0.0,Right lane blocked due to accident on FL-836 Dolphin Expy Eastbound at 45th Ave.,,NW 45th Ave,R,Miami,Miami-Dade,FL,33126,US,US/Eastern,KMIA,2018-08-08 15:53:00,90.0,,63.0,30.08,10.0,ESE,10.4,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3907751,Bing,,4,2019-02-11 19:46:27,2019-02-11 20:15:58,29.79208,-95.05996,29.77998,-95.11915,3.646,Closed between TX-330-SPUR/FM-2100/Lynchburg Rd and Sheldon Rd - Road closed due to accident.,,I-10 W,R,Highlands,Harris,TX,77562,US,US/Central,KEFD,2019-02-11 19:50:00,68.0,,94.0,29.88,7.0,South,5.8,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1549919,MapQuest,201.0,2,2019-03-29 09:59:43,2019-03-29 11:07:15,35.120506,-81.57309,,,0.0,Accident on I-85 Northbound at Exit 98 Milliken Rd.,,I-85 N,R,Blacksburg,Cherokee,SC,29702,US,US/Eastern,KEHO,2019-03-29 10:00:00,53.4,,52.0,30.21,10.0,WSW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1999278,MapQuest,245.0,3,2018-07-10 14:25:35,2018-07-10 14:55:04,41.551083,-81.603104,,,2.75999999046,Two lanes blocked due to accident on I-90 Eastbound between Exit 177 Martin Luther King Dr and Exit 178 Eddy Rd.,,Eddy Rd,R,Cleveland,Cuyahoga,OH,44108,US,US/Eastern,KBKL,2018-07-10 14:53:00,78.1,,66.0,30.02,10.0,NNW,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3797704,Bing,,2,2019-10-09 06:13:00,2019-10-09 07:00:41,34.24779,-118.42585,34.24779,-118.42585,0.0,At Osborne St/Exit 154 - Accident.,,Golden State Fwy S,R,Pacoima,Los Angeles,CA,91331,US,US/Pacific,KWHP,2019-10-09 08:00:00,57.0,57.0,94.0,28.84,3.0,CALM,0.0,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-2282720,MapQuest,201.0,2,2018-03-30 12:11:07,2018-03-30 13:25:56,34.537617,-81.918861,,,0.0,Accident on SC-308 at Bethany Church Rd.,4900.0,Highway 308,R,Laurens,Laurens,SC,29360,US,US/Eastern,KLUX,2018-03-30 12:15:00,64.4,,64.0,30.01,10.0,SW,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-56373,MapQuest,241.0,2,2016-12-14 19:04:03,2016-12-14 19:33:34,34.15345,-118.651581,,,0.01,One lane blocked due to accident on US-101 Eastbound at Exit 30 Calabasas Rd.,,US-101 S,R,Calabasas,Los Angeles,CA,91302,US,US/Pacific,KVNY,2016-12-14 18:51:00,61.0,,78.0,30.04,6.0,Calm,,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2957948,Bing,,2,2020-11-10 23:45:00,2020-11-11 02:59:37,37.368203,-121.902419,37.366963,-121.901189,0.109,GISH ONR TO NB 880. RED FORD F150 73546C2 VS WHI NISS ALT 8MOV808 / 1125 AT METERING LIGHTS,,Old Bayshore Hwy,R,San Jose,Santa Clara,CA,95112,US,US/Pacific,KSJC,2020-11-10 23:53:00,55.0,55.0,74.0,30.06,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-205583,MapQuest,201.0,3,2016-11-16 06:44:28,2016-11-16 07:14:06,40.828316,-73.931114,,,0.01,Accident on I-87 Major Deegan Expy Northbound at Exit 5 Macombs Dam Bridge.,,Macombs Dam Brg,R,Bronx,Bronx,NY,10451,US,US/Eastern,KLGA,2016-11-16 06:51:00,50.0,,63.0,29.76,10.0,West,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1755737,MapQuest,201.0,2,2018-11-12 08:20:44,2018-11-12 08:50:24,34.441578,-119.812927,,,0.0,Accident on US-101 Northbound at Exits 104 104A 104B CA-217 Ward Memorial Blvd.,,Ward Memorial Blvd,R,Santa Barbara,Santa Barbara,CA,93111,US,US/Pacific,KSBA,2018-11-12 07:53:00,50.0,,50.0,30.23,10.0,Calm,,,Smoke,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3092436,Bing,,2,2020-10-18 20:20:30,2020-10-19 00:15:00,34.114859,-118.268294,34.103554,-118.25148,1.239,Slow traffic on I-5 from Los Feliz Blvd (I-5) to CA-2/Glendale Fwy (I-5) due to accident.,,Golden State Fwy S,R,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,2020-10-18 19:52:00,69.0,69.0,78.0,29.75,10.0,W,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1239759,MapQuest,201.0,2,2019-08-27 09:49:38,2019-08-27 10:51:29,30.212971,-92.031212,,,0.0,Accident on St Landry St at Dean St.,198.0,Dean St,R,Lafayette,Lafayette,LA,70506-4710,US,US/Central,KLFT,2019-08-27 09:53:00,86.0,86.0,72.0,29.93,10.0,SW,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1059517,MapQuest,201.0,2,2019-10-15 05:37:15,2019-10-15 06:22:08,32.862221,-96.893196,,,0.0,Left hand shoulder blocked due to accident on Stemmons Fwy Southbound at TX-12-LOOP Northwest Hwy.,10001.0,N Stemmons Fwy,L,Dallas,Dallas,TX,75220,US,US/Central,KDAL,2019-10-15 05:53:00,73.0,73.0,90.0,29.37,8.0,S,7.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-1622047,MapQuest,201.0,2,2019-01-04 07:04:19,2019-01-04 07:34:01,32.677471,-97.062271,,,0.0,Accident on TX-360 Angus G Wynne Jr Fwy Southbound at I-20.,,I-20 W,R,Grand Prairie,Tarrant,TX,75052,US,US/Central,KGPM,2019-01-04 06:55:00,37.8,32.5,93.0,30.0,10.0,West,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
