Severity,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in)
2,East Baton Rouge,LA,47.0,40.0,41.0,30.24,10.0,16.0,0.0
2,Los Angeles,CA,53.0,53.0,74.0,29.86,10.0,0.0,0.0
3,Los Angeles,CA,69.0,69.0,70.0,29.59,10.0,5.0,0.0
2,Orange,CA,81.0,81.0,18.0,29.97,10.0,9.0,0.0
2,Aitkin,MN,32.0,32.0,75.0,28.89,10.0,3.0,0.0
2,Butte,CA,74.0,74.0,29.0,29.99,9.0,3.0,0.0
3,Alameda,CA,59.0,59.0,44.0,30.24,10.0,5.0,0.0
2,Los Angeles,CA,60.0,60.0,90.0,29.89,10.0,5.0,0.0
3,Tooele,UT,45.0,38.0,48.0,25.51,10.0,17.0,0.0
3,Douglas,NE,30.0,23.0,65.0,29.21,10.0,7.0,0.0
2,Santa Cruz,CA,47.0,47.0,93.0,29.56,10.0,0.0,0.0
2,Santa Cruz,CA,53.0,53.0,89.0,29.9,10.0,0.0,0.0
3,Pierce,WA,50.0,43.0,99.0,29.51,10.0,18.0,0.0
2,Westmoreland,PA,43.0,37.0,42.0,28.92,10.0,9.0,0.0
2,Los Angeles,CA,67.0,67.0,5.0,29.26,10.0,21.0,0.0
3,Hennepin,MN,84.0,84.0,72.0,28.91,10.0,6.0,0.0
2,Lee,FL,81.0,81.0,88.0,29.92,10.0,9.0,0.0
2,Jefferson,AL,87.0,87.0,40.0,29.45,10.0,6.0,0.0
3,Los Angeles,CA,74.0,74.0,64.0,29.84,10.0,8.0,0.0
2,Colbert,AL,89.0,89.0,45.0,29.45,10.0,12.0,0.0
2,Manatee,FL,69.0,69.0,73.0,29.88,10.0,15.0,0.0
3,Hamilton,TN,70.0,70.0,90.0,29.08,7.0,9.0,0.0
2,Mecklenburg,NC,76.0,76.0,87.0,29.28,7.0,6.0,0.0
3,Baker,FL,97.0,97.0,27.0,29.79,10.0,6.0,0.0
2,Harris,TX,82.0,82.0,51.0,29.87,10.0,16.0,0.0
2,Los Angeles,CA,66.0,66.0,68.0,29.73,10.0,6.0,0.0
2,Los Angeles,CA,80.0,80.0,20.0,29.98,10.0,5.0,0.0
3,Middlesex,CT,46.0,42.0,100.0,28.95,2.0,8.0,0.0
2,Collin,TX,81.0,81.0,74.0,29.35,10.0,6.0,0.0
2,Oklahoma,OK,79.0,79.0,64.0,28.45,10.0,7.0,0.0
2,Seminole,FL,77.0,77.0,90.0,29.81,10.0,9.0,0.0
2,Ramsey,MN,43.0,34.0,100.0,28.39,10.0,21.0,0.0
2,Harris,TX,67.0,67.0,84.0,29.84,10.0,7.0,0.0
2,Caddo,LA,76.0,76.0,82.0,29.82,10.0,7.0,0.0
3,Queens,NY,51.0,51.0,54.0,30.05,10.0,8.0,0.0
2,Pima,AZ,64.0,64.0,14.0,27.24,10.0,7.0,0.0
2,DeKalb,GA,50.0,50.0,68.0,28.93,10.0,16.0,0.0
2,Cambria,PA,37.0,26.0,89.0,27.07,0.25,23.0,0.02
2,San Joaquin,CA,49.0,49.0,66.0,30.0,7.0,0.0,0.0
2,San Bernardino,CA,71.0,71.0,45.0,28.97,10.0,15.0,0.0
3,Onondaga,NY,67.0,67.0,87.0,29.32,2.0,16.0,0.2
3,Lexington,SC,53.0,53.0,89.0,29.84,10.0,0.0,0.0
2,Maricopa,AZ,69.0,69.0,34.0,28.8,10.0,5.0,0.0
2,Olmsted,MN,53.0,53.0,86.0,28.49,10.0,10.0,0.0
2,Santa Clara,CA,84.0,84.0,41.0,29.73,10.0,13.0,0.0
2,New York,NY,40.0,33.0,70.0,30.42,10.0,10.0,0.0
2,Mecklenburg,NC,52.0,52.0,67.0,28.57,10.0,30.0,0.0
1,Contra Costa,CA,65.0,65.0,63.0,29.68,10.0,20.0,0.0
2,Los Angeles,CA,70.0,70.0,49.0,29.86,10.0,0.0,0.0
2,Henrico,VA,84.0,84.0,56.0,29.74,10.0,14.0,0.0
2,Los Angeles,CA,75.0,75.0,53.0,29.7,8.0,5.0,0.0
2,Suffolk,MA,71.0,71.0,51.0,30.21,10.0,14.0,0.0
2,New York,NY,49.0,44.0,52.0,29.68,10.0,14.0,0.0
2,Dallas,TX,83.0,83.0,65.0,29.23,10.0,17.0,0.0
2,Wayne,MI,37.0,30.4,89.0,29.81,7.0,9.2,0.02
2,Miami-Dade,FL,85.0,85.0,67.0,29.92,10.0,14.0,0.0
2,Pierce,WA,74.0,74.0,55.0,29.56,10.0,13.0,0.0
2,Orange,CA,71.0,71.0,45.0,29.86,10.0,0.0,0.0
2,Deschutes,OR,86.0,86.0,24.0,26.92,10.0,10.0,0.0
2,Napa,CA,38.0,38.0,86.0,29.99,8.0,0.0,0.0
2,Miami-Dade,FL,62.0,62.0,44.0,30.03,10.0,14.0,0.0
2,Jefferson,AL,50.0,50.0,38.0,29.8,10.0,5.0,0.0
2,Richmond,GA,44.1,41.5,93.0,29.98,2.0,4.6,0.04
2,Bexar,TX,69.0,69.0,65.0,29.34,10.0,6.0,0.0
2,Dallas,TX,71.0,71.0,70.0,29.19,10.0,5.0,0.0
2,Wake,NC,63.0,63.0,97.0,29.6,10.0,5.0,0.0
2,San Mateo,CA,55.0,55.0,77.0,30.2,10.0,3.0,0.0
2,Madera,CA,51.0,51.0,68.0,30.02,10.0,3.0,0.0
2,Los Angeles,CA,54.0,54.0,66.0,29.43,10.0,0.0,0.0
2,Hays,TX,62.0,62.0,86.0,29.68,10.0,0.0,0.0
2,Jefferson,MO,75.0,75.0,60.0,29.48,10.0,0.0,0.0
3,Dallas,TX,63.0,63.0,93.0,29.3,2.0,7.0,0.02
4,El Paso,CO,67.0,67.0,28.0,23.19,10.0,13.0,0.0
2,Wake,NC,49.0,45.0,46.0,29.21,10.0,10.0,0.0
2,Oconee,SC,63.0,63.0,93.0,29.11,10.0,0.0,0.0
2,Hernando,FL,76.0,76.0,94.0,29.76,5.0,3.0,0.0
2,Lee,FL,49.0,49.0,86.0,30.16,10.0,0.0,0.0
2,Glenn,CA,52.0,52.0,94.0,29.8,10.0,0.0,0.0
4,Jefferson,AL,67.0,67.0,90.0,29.23,2.0,13.0,0.08
2,New Castle,DE,57.0,57.0,62.0,29.85,10.0,13.0,0.0
2,Clay,FL,78.0,78.0,71.0,30.23,10.0,7.0,0.0
2,Los Angeles,CA,73.0,73.0,61.0,29.62,10.0,5.0,0.0
2,Salt Lake,UT,47.0,45.0,90.0,25.53,10.0,5.0,0.0
2,Dupage,IL,67.0,67.0,36.0,29.27,10.0,12.0,0.0
2,Los Angeles,CA,49.0,49.0,83.0,29.86,10.0,0.0,0.0
3,Chatham,GA,77.0,77.0,62.0,30.1,10.0,6.0,0.0
2,Miami-Dade,FL,81.0,81.0,82.0,29.92,10.0,5.0,0.0
2,Colusa,CA,73.0,73.0,31.0,30.0,10.0,6.0,0.0
2,Los Angeles,CA,53.0,53.0,80.0,29.21,10.0,0.0,0.0
2,Madison,AL,39.0,34.0,73.0,29.37,10.0,8.0,0.0
2,Deschutes,OR,37.0,37.0,75.0,26.5,10.0,0.0,0.0
2,Mecklenburg,NC,63.0,63.0,75.0,29.48,10.0,0.0,0.0
2,Humboldt,CA,37.0,33.0,93.0,29.77,10.0,5.0,0.0
3,Bernalillo,NM,65.0,65.0,70.0,24.81,10.0,0.0,0.0
2,Bergen,NJ,64.0,64.0,60.0,29.93,10.0,8.0,0.0
2,San Diego,CA,63.0,63.0,48.0,30.0,10.0,5.0,0.0
2,Lake,IL,44.0,44.0,93.0,29.34,10.0,3.0,0.0
2,Los Angeles,CA,54.0,54.0,57.0,29.78,10.0,0.0,0.0
3,Los Angeles,CA,68.0,68.0,78.0,29.78,9.0,3.0,0.0
3,San Bernardino,CA,89.0,89.0,14.0,28.82,10.0,9.0,0.0
2,Lake,IL,63.0,63.0,90.0,29.32,10.0,9.0,0.0
2,Pike,AL,61.0,61.0,56.0,29.79,10.0,5.0,0.0
2,Los Angeles,CA,63.0,63.0,70.0,29.81,6.0,0.0,0.0
3,Dallas,TX,54.0,54.0,88.0,29.46,10.0,16.0,0.0
2,Duval,FL,88.0,88.0,70.0,30.02,10.0,10.0,0.0
2,Los Angeles,CA,57.0,57.0,67.0,29.91,10.0,0.0,0.0
2,Hamilton,OH,45.0,38.0,58.0,29.08,10.0,15.0,0.0
2,Tulare,CA,52.0,52.0,74.0,29.89,7.0,0.0,0.0
2,Los Angeles,CA,50.0,50.0,86.0,29.12,4.0,10.0,0.11
3,Rockdale,GA,46.0,46.0,100.0,28.97,0.5,0.0,0.0
2,Montgomery,PA,47.0,45.0,86.0,29.81,10.0,5.0,0.0
2,Davidson,TN,51.0,51.0,89.0,28.9,1.0,10.0,0.0
2,Upson,GA,55.0,55.0,82.0,29.22,10.0,0.0,0.0
2,Pima,AZ,60.0,60.0,33.0,27.13,10.0,10.0,0.0
3,Jackson,MO,74.0,74.0,71.0,28.89,10.0,17.0,0.0
2,Orangeburg,SC,72.0,72.0,40.0,30.09,10.0,5.0,0.0
2,Nevada,CA,73.0,73.0,14.0,26.84,10.0,5.0,0.0
2,Caroline,VA,60.0,60.0,100.0,29.88,10.0,0.0,0.0
3,Johnston,NC,54.0,54.0,93.0,29.71,2.0,5.0,0.0
2,Los Angeles,CA,73.0,73.0,64.0,29.74,10.0,0.0,0.0
2,Queens,NY,36.0,30.0,89.0,29.83,6.0,8.0,0.19
2,Suffolk,NY,73.0,73.0,93.0,30.16,5.0,3.0,0.25
2,Los Angeles,CA,50.0,50.0,61.0,29.93,10.0,0.0,0.0
2,Pinellas,FL,84.0,84.0,74.0,29.97,10.0,3.0,0.0
1,Sonoma,CA,80.0,80.0,42.0,29.91,10.0,3.0,0.0
2,San Mateo,CA,67.0,67.0,66.0,30.04,10.0,24.0,0.0
2,Hillsborough,FL,63.0,63.0,81.0,29.93,10.0,5.0,0.0
2,Bexar,TX,76.0,76.0,32.0,29.31,10.0,14.0,0.0
2,Palm Beach,FL,77.0,77.0,89.0,29.89,7.0,7.0,0.0
2,Florence,SC,63.0,63.0,94.0,30.04,5.0,8.0,0.0
3,Bernalillo,NM,39.0,34.0,82.0,24.99,8.0,7.0,0.0
2,Montgomery,OH,42.0,36.0,53.0,28.94,10.0,12.0,0.0
2,Salt Lake,UT,56.0,56.0,87.0,25.54,5.0,10.0,0.22
2,Dallas,TX,42.0,42.0,70.0,29.72,10.0,3.0,0.0
2,Franklin,OH,28.9,17.7,82.0,29.87,9.0,15.0,0.0
2,Genesee,MI,22.0,14.0,66.0,29.7,10.0,6.0,0.0
2,Burlington,NJ,71.0,71.0,90.0,29.85,10.0,0.0,0.0
2,Los Angeles,CA,73.0,73.0,19.0,29.73,10.0,6.0,0.0
3,Orange,FL,88.0,88.0,53.0,29.95,10.0,3.0,0.0
3,Monroe,MI,73.0,73.0,37.0,29.17,10.0,12.0,0.0
2,Hillsborough,FL,77.0,77.0,54.0,30.27,10.0,7.0,0.0
2,Los Angeles,CA,74.0,74.0,48.0,29.78,10.0,6.0,0.0
2,Riverside,CA,52.0,52.0,57.0,29.17,10.0,0.0,0.0
2,Harris,TX,56.0,56.0,62.0,30.09,10.0,12.0,0.0
2,Orange,CA,57.0,57.0,55.0,29.95,7.0,3.0,0.0
2,Richmond City,VA,42.0,37.0,76.0,30.02,10.0,9.0,0.0
3,Larimer,CO,83.0,83.0,18.0,24.89,10.0,8.0,0.0
2,King,WA,67.0,67.0,52.0,30.07,10.0,6.0,0.0
2,Nicollet,MN,57.0,57.0,83.0,29.16,10.0,14.0,0.0
2,Pulaski,AR,34.0,25.0,73.0,30.03,10.0,14.0,0.0
2,Travis,TX,38.0,38.0,89.0,29.59,10.0,0.0,0.0
3,Dillon,SC,86.0,86.0,45.0,29.95,10.0,9.0,0.0
2,Davidson,TN,47.0,47.0,86.0,29.27,10.0,3.0,0.0
2,Los Angeles,CA,62.0,62.0,4.0,26.92,10.0,10.0,0.0
2,Kenton,KY,70.0,70.0,97.0,29.37,4.0,0.0,0.01
1,Manatee,FL,67.0,67.0,87.0,30.02,10.0,7.0,0.0
4,Polk,OR,64.0,64.0,26.0,29.8,10.0,13.0,0.0
4,Charleston,SC,76.0,76.0,85.0,29.79,7.0,29.0,0.0
2,Butte,CA,79.0,79.0,24.0,29.74,10.0,6.0,0.0
3,Cherokee,GA,74.0,74.0,68.0,29.02,10.0,3.0,0.0
2,Sonoma,CA,55.0,55.0,94.0,29.79,10.0,5.0,0.0
3,Queens,NY,51.0,51.0,100.0,30.1,10.0,6.0,0.0
