State,County,Start_Lat,Start_Lng,count
AL,Autauga,32.438520000000004,-86.47399,393
AL,Baldwin,30.656706,-87.905559,943
AL,Barbour,32.029539,-85.121218,41
AL,Bibb,32.894852,-87.212097,45
AL,Blount,34.129452,-86.41124,1031
AL,Bullock,32.216051,-85.915637,34
AL,Butler,31.837939,-86.890493,175
AL,Calhoun,33.94569,-85.652687,112
AL,Chambers,32.792221000000005,-85.46949000000001,68
AL,Cherokee,34.17774,-85.76009,14
AL,Chilton,32.825161,-86.620613,1216
AL,Choctaw,31.775881,-88.228401,13
AL,Clarke,31.755470000000003,-88.08413,3
AL,Clay,33.391472,-85.692666,8
AL,Cleburne,33.64662,-85.506389,93
AL,Coffee,31.397463,-86.15682199999999,89
AL,Colbert,34.684681,-87.598488,101
AL,Conecuh,31.419003000000004,-87.006248,66
AL,Coosa,32.855579,-86.30828100000001,19
AL,Covington,31.19056,-86.45295,26
AL,Crenshaw,31.95373,-86.313927,24
AL,Cullman,34.151649,-86.842934,547
AL,Dale,31.513378000000003,-85.705421,97
AL,Dallas,32.435749,-87.083504,47
AL,De Kalb,34.396151,-85.62894200000001,1
AL,DeKalb,34.366888,-86.00939100000001,56
AL,Elmore,32.529708,-86.205344,414
AL,Escambia,31.158181,-87.378741,89
AL,Etowah,33.991844,-86.03765899999999,80
AL,Fayette,33.685520000000004,-87.76451899999999,13
AL,Franklin,34.495411,-87.780991,11
AL,Geneva,31.086109000000004,-85.77668800000001,36
AL,Greene,32.986176,-87.789291,151
AL,Hale,32.9414,-87.6275,29
AL,Henry,31.3535,-85.327232,33
AL,Houston,31.207499,-85.423889,362
AL,Jackson,34.630951,-85.869873,58
AL,Jefferson,33.411137,-86.97020699999999,6562
AL,Lamar,33.903733,-88.135725,14
AL,Lauderdale,34.919144,-87.836617,32
AL,Lawrence,34.681228999999995,-87.40593,30
AL,Lee,32.632942,-85.369987,319
AL,Limestone,34.828018,-86.939423,1031
AL,Lowndes,31.985069,-86.529655,235
AL,Macon,32.406574,-85.958527,233
AL,Madison,34.753899,-86.740997,3625
AL,Marengo,32.47379,-87.710362,8
AL,Marion,33.961025,-87.671338,58
AL,Marshall,34.220451000000004,-86.409279,68
AL,Mobile,30.877176,-88.044342,3560
AL,Monroe,31.574593,-87.565628,3
AL,Montgomery,32.312202,-86.34944200000001,3800
AL,Morgan,34.36294,-86.89161999999999,666
AL,Perry,32.684662,-87.40735600000001,9
AL,Pickens,33.445159999999994,-88.00016,30
AL,Pike,31.785603,-85.964302,357
AL,Randolph,33.304589,-85.538673,9
AL,Russell,32.47475,-85.02995,160
AL,Saint Clair,33.581909,-86.287544,1
AL,Shelby,33.418018,-86.687416,1054
AL,St. Clair,33.49411,-86.330162,314
AL,Sumter,32.701183,-88.142601,90
AL,Talladega,33.591181,-86.128016,147
AL,Tallapoosa,32.533970000000004,-85.88295,42
AL,Tuscaloosa,33.206249,-87.50885799999999,3978
AL,Walker,33.65691,-87.16288,277
AL,Washington,31.40568,-88.43160999999999,11
AL,Wilcox,32.08875,-87.361315,5
AL,Winston,34.202221,-87.181549,24
AR,Arkansas,34.515745,-91.536408,26
AR,Ashley,33.129748,-91.822575,18
AR,Baxter,36.349548,-92.370995,2
AR,Benton,36.24307,-94.152456,174
AR,Boone,36.159513,-92.997671,5
AR,Bradley,33.605807,-92.022149,16
AR,Calhoun,33.79081,-92.46653,13
AR,Carroll,36.389659,-93.713126,22
AR,Chicot,33.278177,-91.250478,17
AR,Clark,34.060843,-93.128041,70
AR,Clay,36.411683,-90.64072,17
AR,Cleburne,35.362969,-92.125577,8
AR,Cleveland,33.88061,-92.25427,30
AR,Columbia,33.249975,-93.077315,19
AR,Conway,35.221835,-92.833131,49
AR,Craighead,35.804759999999995,-90.698608,106
AR,Crawford,35.752318,-94.198345,73
AR,Crittenden,35.193787,-90.197678,329
AR,Cross,35.253929,-90.787314,2
AR,Dallas,33.802867,-92.400006,12
AR,Desha,33.822199,-91.471602,12
AR,Drew,33.45523,-91.84512,19
AR,Faulkner,35.25213,-92.387379,70
AR,Franklin,35.521371,-93.873436,26
AR,Fulton,36.3965,-91.98247,2
AR,Garland,34.508596000000004,-93.1781,43
AR,Grant,34.308503,-92.227288,35
AR,Greene,36.148166,-90.412325,25
AR,Hempstead,33.735741,-93.526192,28
AR,Hot Spring,34.328472,-92.924313,75
AR,Howard,34.29057,-94.2201,5
AR,Independence,35.733587,-91.638341,13
AR,Jackson,35.634370000000004,-91.23849,15
AR,Jefferson,34.343765000000005,-92.171119,114
