State,County,Start_Lat,Start_Lng,count,State_Name
AL,Autauga,32.438520000000004,-86.47399,393,Alabama
AL,Baldwin,30.656706,-87.905559,943,Alabama
AL,Barbour,32.029539,-85.121218,41,Alabama
AL,Bibb,32.894852,-87.212097,45,Alabama
AL,Blount,34.129452,-86.41124,1031,Alabama
AL,Bullock,32.216051,-85.915637,34,Alabama
AL,Butler,31.837939,-86.890493,175,Alabama
AL,Calhoun,33.94569,-85.652687,112,Alabama
AL,Chambers,32.792221000000005,-85.46949000000001,68,Alabama
AL,Cherokee,34.17774,-85.76009,14,Alabama
AL,Chilton,32.825161,-86.620613,1216,Alabama
AL,Choctaw,31.775881,-88.228401,13,Alabama
AL,Clarke,31.755470000000003,-88.08413,3,Alabama
AL,Clay,33.391472,-85.692666,8,Alabama
AL,Cleburne,33.64662,-85.506389,93,Alabama
AL,Coffee,31.397463,-86.15682199999999,89,Alabama
AL,Colbert,34.684681,-87.598488,101,Alabama
AL,Conecuh,31.419003000000004,-87.006248,66,Alabama
AL,Coosa,32.855579,-86.30828100000001,19,Alabama
AL,Covington,31.19056,-86.45295,26,Alabama
AL,Crenshaw,31.95373,-86.313927,24,Alabama
AL,Cullman,34.151649,-86.842934,547,Alabama
AL,Dale,31.513378000000003,-85.705421,97,Alabama
AL,Dallas,32.435749,-87.083504,47,Alabama
AL,De Kalb,34.396151,-85.62894200000001,1,Alabama
AL,DeKalb,34.366888,-86.00939100000001,56,Alabama
AL,Elmore,32.529708,-86.205344,414,Alabama
AL,Escambia,31.158181,-87.378741,89,Alabama
AL,Etowah,33.991844,-86.03765899999999,80,Alabama
AL,Fayette,33.685520000000004,-87.76451899999999,13,Alabama
AL,Franklin,34.495411,-87.780991,11,Alabama
AL,Geneva,31.086109000000004,-85.77668800000001,36,Alabama
AL,Greene,32.986176,-87.789291,151,Alabama
AL,Hale,32.9414,-87.6275,29,Alabama
AL,Henry,31.3535,-85.327232,33,Alabama
AL,Houston,31.207499,-85.423889,362,Alabama
AL,Jackson,34.630951,-85.869873,58,Alabama
AL,Jefferson,33.411137,-86.97020699999999,6562,Alabama
AL,Lamar,33.903733,-88.135725,14,Alabama
AL,Lauderdale,34.919144,-87.836617,32,Alabama
AL,Lawrence,34.681228999999995,-87.40593,30,Alabama
AL,Lee,32.632942,-85.369987,319,Alabama
AL,Limestone,34.828018,-86.939423,1031,Alabama
AL,Lowndes,31.985069,-86.529655,235,Alabama
AL,Macon,32.406574,-85.958527,233,Alabama
AL,Madison,34.753899,-86.740997,3625,Alabama
AL,Marengo,32.47379,-87.710362,8,Alabama
AL,Marion,33.961025,-87.671338,58,Alabama
AL,Marshall,34.220451000000004,-86.409279,68,Alabama
AL,Mobile,30.877176,-88.044342,3560,Alabama
AL,Monroe,31.574593,-87.565628,3,Alabama
AL,Montgomery,32.312202,-86.34944200000001,3800,Alabama
AL,Morgan,34.36294,-86.89161999999999,666,Alabama
AL,Perry,32.684662,-87.40735600000001,9,Alabama
AL,Pickens,33.445159999999994,-88.00016,30,Alabama
AL,Pike,31.785603,-85.964302,357,Alabama
AL,Randolph,33.304589,-85.538673,9,Alabama
AL,Russell,32.47475,-85.02995,160,Alabama
AL,Saint Clair,33.581909,-86.287544,1,Alabama
AL,Shelby,33.418018,-86.687416,1054,Alabama
AL,St. Clair,33.49411,-86.330162,314,Alabama
AL,Sumter,32.701183,-88.142601,90,Alabama
AL,Talladega,33.591181,-86.128016,147,Alabama
AL,Tallapoosa,32.533970000000004,-85.88295,42,Alabama
AL,Tuscaloosa,33.206249,-87.50885799999999,3978,Alabama
AL,Walker,33.65691,-87.16288,277,Alabama
AL,Washington,31.40568,-88.43160999999999,11,Alabama
AL,Wilcox,32.08875,-87.361315,5,Alabama
AL,Winston,34.202221,-87.181549,24,Alabama
AR,Arkansas,34.515745,-91.536408,26,Arkansas
AR,Ashley,33.129748,-91.822575,18,Arkansas
AR,Baxter,36.349548,-92.370995,2,Arkansas
AR,Benton,36.24307,-94.152456,174,Arkansas
AR,Boone,36.159513,-92.997671,5,Arkansas
AR,Bradley,33.605807,-92.022149,16,Arkansas
AR,Calhoun,33.79081,-92.46653,13,Arkansas
AR,Carroll,36.389659,-93.713126,22,Arkansas
AR,Chicot,33.278177,-91.250478,17,Arkansas
AR,Clark,34.060843,-93.128041,70,Arkansas
AR,Clay,36.411683,-90.64072,17,Arkansas
AR,Cleburne,35.362969,-92.125577,8,Arkansas
AR,Cleveland,33.88061,-92.25427,30,Arkansas
AR,Columbia,33.249975,-93.077315,19,Arkansas
AR,Conway,35.221835,-92.833131,49,Arkansas
AR,Craighead,35.804759999999995,-90.698608,106,Arkansas
AR,Crawford,35.752318,-94.198345,73,Arkansas
AR,Crittenden,35.193787,-90.197678,329,Arkansas
AR,Cross,35.253929,-90.787314,2,Arkansas
AR,Dallas,33.802867,-92.400006,12,Arkansas
AR,Desha,33.822199,-91.471602,12,Arkansas
AR,Drew,33.45523,-91.84512,19,Arkansas
AR,Faulkner,35.25213,-92.387379,70,Arkansas
AR,Franklin,35.521371,-93.873436,26,Arkansas
AR,Fulton,36.3965,-91.98247,2,Arkansas
AR,Garland,34.508596000000004,-93.1781,43,Arkansas
AR,Grant,34.308503,-92.227288,35,Arkansas
AR,Greene,36.148166,-90.412325,25,Arkansas
AR,Hempstead,33.735741,-93.526192,28,Arkansas
AR,Hot Spring,34.328472,-92.924313,75,Arkansas
AR,Howard,34.29057,-94.2201,5,Arkansas
AR,Independence,35.733587,-91.638341,13,Arkansas
AR,Jackson,35.634370000000004,-91.23849,15,Arkansas
AR,Jefferson,34.343765000000005,-92.171119,114,Arkansas
AR,Johnson,35.626870000000004,-93.44122,15,Arkansas
AR,Lafayette,33.35584,-93.576494,3,Arkansas
AR,Lawrence,36.04641,-91.002856,31,Arkansas
AR,Lincoln,34.013382,-91.939097,11,Arkansas
AR,Little River,33.576399,-94.036949,1,Arkansas
AR,Logan,35.17649,-93.92178,1,Arkansas
AR,Lonoke,34.803453000000005,-91.910086,157,Arkansas
AR,Madison,36.265557,-93.768931,9,Arkansas
AR,Miller,33.508503999999995,-93.948394,41,Arkansas
AR,Mississippi,35.698078,-90.05001800000001,47,Arkansas
AR,Monroe,34.908939000000004,-91.196554,43,Arkansas
AR,Montgomery,34.674391,-93.785215,11,Arkansas
AR,Nevada,33.861308,-93.353546,13,Arkansas
AR,Newton,35.885653999999995,-93.037165,4,Arkansas
AR,Ouachita,33.538292,-92.908462,21,Arkansas
AR,Perry,35.009503,-92.801689,8,Arkansas
AR,Phillips,34.60148,-91.0467,5,Arkansas
AR,Poinsett,35.519825,-90.41407,36,Arkansas
AR,Polk,34.283871000000005,-94.343236,7,Arkansas
AR,Pope,35.253206,-92.933188,48,Arkansas
AR,Prairie,34.819182,-91.56966,72,Arkansas
AR,Pulaski,34.745940000000004,-92.26283,1945,Arkansas
AR,Randolph,36.354401,-90.759186,11,Arkansas
AR,Saline,34.59996,-92.608076,197,Arkansas
AR,Scott,34.961143,-94.109625,19,Arkansas
AR,Searcy,35.952169,-92.731176,6,Arkansas
